Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2023-08-16T13:35:55;Achat;-10.0;Amazon.com;US0231351067;0.07991;;;;
2023-08-16T13:40:31;Achat;-20.0;Apple;US0378331005;0.122744;;;;
2023-08-16T13:49:17;Achat;-10.0;Alphabet (A);US02079K3059;0.084175;;;;
2023-08-16T14:19:02;Achat;-20.0;Tesla;US88160R1014;0.093523;;;;
2023-08-16T14:38:12;Achat;-10.0;Microsoft;US5949181045;0.033811;;;;
2023-08-16T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.048923;;;;
2023-08-16T23:21:38;Dividendes;0.12;Apple;US0378331005;0.630893;;-0.02;;
2023-09-01T05:38:48;Intérêts;1.55;Zinsen;;;;;;
2023-09-04T08:53:04;Achat;-30.09;LVMH Moët Hennessy;FR0000121014;0.038372;;;;
2023-09-04T13:50:36;Achat;-10.0;Alphabet (A);US02079K3059;0.079365;;;;
2023-09-04T14:16:07;Achat;-10.0;Meta Platforms (A);US30303M1027;0.036238;;;;
2023-09-04T14:21:25;Achat;-20.0;Tesla;US88160R1014;0.086244;;;;
2023-09-04T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.04878;;;;
2023-09-11T22:52:55;Dividendes;0.24;Tractor Supply;US8923561067;0.301074;;-0.05;;
2023-09-14T22:40:27;Dividendes;0.09;Microsoft;US5949181045;0.175892;;-0.02;;
2023-09-18T08:52:03;Achat;-30.09;LVMH Moët Hennessy;FR0000121014;0.039973;;;;
2023-09-18T13:39:31;Achat;-20.0;Apple;US0378331005;0.119703;;;;
2023-09-18T14:36:45;Achat;-10.0;Microsoft;US5949181045;0.032441;;;;
2023-10-02T08:52:40;Achat;-30.09;LVMH Moët Hennessy;FR0000121014;0.041591;;;;
2023-10-02T10:13:24;Intérêts;1.25;Zinsen;;;;;;
2023-10-02T13:51:44;Achat;-10.0;Alphabet (A);US02079K3059;0.079164;;;;
2023-10-02T14:15:55;Achat;-10.0;Meta Platforms (A);US30303M1027;0.034423;;;;
2023-10-02T14:19:15;Achat;-10.0;Tesla;US88160R1014;0.041928;;;;
2023-10-02T17:24:21;Achat;-20.0;Tractor Supply;US8923561067;0.103466;;;;
2023-10-16T08:52:45;Achat;-30.09;LVMH Moët Hennessy;FR0000121014;0.045378;;;;
2023-10-16T14:18:55;Achat;-10.0;Tesla;US88160R1014;0.04171;;;;
2023-10-16T14:32:44;Achat;-20.0;Apple;US0378331005;0.117966;;;;
2023-10-16T14:37:02;Achat;-10.0;Microsoft;US5949181045;0.031466;;;;
2023-10-30T09:17:59;Vente;252.97;LVMH Moët Hennessy;FR0000121014;0.380419;-1.0;;;
2023-11-01T06:22:49;Intérêts;1.06;Zinsen;;;;;;
2023-11-02T14:50:29;Achat;-10.0;Alphabet (A);US02079K3059;0.083277;;;;
2023-11-02T15:24:16;Achat;-10.0;Meta Platforms (A);US30303M1027;0.034399;;;;
2023-11-02T15:24:53;Achat;-25.0;Tesla;US88160R1014;0.122428;;;;
